,age,ratings,weather,traffic,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city_type,time_taken,is_weekend,pickup_time_minutes,order_time_of_day,distance,distance_type
0,37.0,4.9,sunny,high,2,snack,motorcycle,0.0,no,urban,24,1,15.0,morning,3.0251492856775037,short
1,34.0,4.5,stormy,jam,2,snack,scooter,1.0,no,metropolitian,33,0,5.0,evening,20.183529728733618,very_long
2,23.0,4.4,sandstorms,low,0,drinks,motorcycle,1.0,no,urban,26,1,15.0,morning,1.5527578022548725,short
3,38.0,4.7,sunny,medium,0,buffet,motorcycle,1.0,no,metropolitian,21,0,10.0,evening,7.790401360105752,medium
4,32.0,4.6,cloudy,high,1,snack,scooter,1.0,no,metropolitian,30,1,15.0,afternoon,6.2101379656240985,medium
5,22.0,4.8,cloudy,jam,0,buffet,motorcycle,1.0,no,urban,26,0,10.0,night,4.610365144357058,short
6,33.0,4.7,fog,jam,1,meal,scooter,1.0,no,metropolitian,40,0,15.0,evening,16.600361127912656,very_long
7,35.0,4.6,cloudy,medium,2,meal,motorcycle,1.0,no,metropolitian,32,0,5.0,afternoon,20.20525323529291,very_long
8,22.0,4.8,stormy,jam,0,buffet,motorcycle,1.0,no,metropolitian,34,1,10.0,evening,19.975520086221444,very_long
9,36.0,4.2,fog,jam,2,snack,motorcycle,3.0,no,metropolitian,46,1,15.0,night,10.280582064621875,long
10,21.0,4.7,stormy,high,1,meal,motorcycle,1.0,no,metropolitian,23,1,10.0,afternoon,6.242318682701243,medium
11,23.0,4.7,sandstorms,medium,1,drinks,scooter,1.0,no,metropolitian,21,0,10.0,afternoon,13.787860239172547,long
12,34.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,metropolitian,20,1,10.0,morning,2.9302578007621216,short
13,24.0,4.7,fog,jam,1,snack,scooter,1.0,no,metropolitian,41,0,15.0,evening,19.39661829066159,very_long
14,29.0,4.5,sandstorms,jam,2,buffet,electric_scooter,1.0,no,metropolitian,20,1,10.0,evening,13.763977224427641,long
15,35.0,4.0,windy,high,1,meal,scooter,1.0,no,metropolitian,33,0,15.0,afternoon,6.21800119018663,medium
16,33.0,4.2,sandstorms,jam,2,snack,motorcycle,1.0,no,metropolitian,40,0,10.0,evening,16.849939918016492,very_long
18,21.0,4.7,windy,jam,0,meal,motorcycle,1.0,no,urban,15,0,15.0,night,4.5405743887312955,short
19,25.0,4.1,sandstorms,jam,0,snack,motorcycle,2.0,no,metropolitian,36,0,5.0,evening,12.256076445468295,long
20,31.0,4.7,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,26,0,15.0,night,19.618739348801018,very_long
21,37.0,5.0,sandstorms,low,1,snack,motorcycle,1.0,no,metropolitian,20,0,15.0,morning,1.5581322655568652,short
22,33.0,4.3,windy,jam,2,meal,scooter,1.0,no,metropolitian,39,1,15.0,evening,20.180635114114718,very_long
23,25.0,4.0,cloudy,high,1,buffet,motorcycle,1.0,no,metropolitian,34,1,5.0,morning,6.116971669682334,medium
24,29.0,4.5,sunny,medium,2,meal,electric_scooter,1.0,no,metropolitian,15,1,15.0,evening,17.07559440107296,very_long
25,27.0,5.0,stormy,jam,0,snack,motorcycle,0.0,no,urban,18,0,5.0,evening,4.470286489434607,short
26,35.0,4.3,cloudy,low,1,drinks,scooter,0.0,no,metropolitian,38,1,10.0,night,13.68204452608078,long
27,32.0,4.0,windy,jam,0,buffet,motorcycle,1.0,no,metropolitian,47,0,15.0,night,13.973182653917394,long
28,23.0,4.8,windy,low,2,buffet,electric_scooter,0.0,no,urban,12,1,10.0,night,16.85361872985359,very_long
29,31.0,4.8,sandstorms,low,2,drinks,motorcycle,1.0,no,metropolitian,26,0,15.0,night,4.674172124263269,short
30,36.0,4.1,stormy,low,0,drinks,motorcycle,1.0,no,urban,22,1,5.0,night,7.60161677107109,medium
31,26.0,4.3,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,21,0,10.0,night,7.720324413179964,medium
32,38.0,4.9,cloudy,high,1,drinks,scooter,1.0,no,urban,25,0,5.0,afternoon,6.1756362610169315,medium
34,32.0,4.6,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,30,1,10.0,night,19.914686965545187,very_long
35,33.0,4.9,sunny,medium,1,snack,motorcycle,1.0,no,metropolitian,22,0,15.0,evening,10.724517748046026,long
36,20.0,4.7,windy,high,1,snack,scooter,0.0,no,urban,10,1,10.0,afternoon,6.127835452844326,medium
37,20.0,4.8,sandstorms,low,2,meal,scooter,1.0,no,metropolitian,19,0,10.0,morning,1.5203573134022046,short
38,35.0,5.0,sunny,low,2,snack,scooter,1.0,no,urban,11,0,10.0,morning,3.0734537599377685,short
39,26.0,4.9,stormy,low,2,buffet,scooter,0.0,no,metropolitian,11,0,15.0,morning,3.1051314775458967,short
40,22.0,4.8,fog,low,1,snack,motorcycle,1.0,no,metropolitian,28,0,10.0,night,10.86742683448048,long
41,35.0,4.3,cloudy,medium,1,snack,motorcycle,1.0,no,metropolitian,33,0,5.0,afternoon,10.865464603780389,long
43,37.0,4.7,sandstorms,jam,0,snack,motorcycle,3.0,no,metropolitian,52,0,5.0,evening,13.682516298592299,long
44,28.0,4.6,stormy,jam,1,snack,scooter,1.0,no,metropolitian,22,0,15.0,evening,16.826241648658115,very_long
45,37.0,4.9,fog,low,1,snack,scooter,1.0,no,urban,16,1,5.0,morning,3.0272369309754272,short
46,23.0,4.9,sunny,jam,2,drinks,electric_scooter,0.0,no,metropolitian,11,0,5.0,night,9.175193844437826,medium
47,27.0,4.9,windy,medium,1,drinks,scooter,1.0,no,metropolitian,25,1,15.0,evening,9.315069177421892,medium
48,37.0,4.8,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,26,0,10.0,afternoon,6.209021101535612,medium
49,33.0,5.0,sunny,high,2,snack,scooter,1.0,no,metropolitian,18,1,10.0,morning,1.5203447277401048,short
50,31.0,4.9,fog,medium,1,snack,motorcycle,1.0,no,metropolitian,16,1,5.0,afternoon,6.037225392443855,medium
51,31.0,4.8,stormy,low,2,drinks,scooter,1.0,no,metropolitian,23,0,10.0,night,17.078665498349437,very_long
53,28.0,4.8,sandstorms,jam,0,drinks,motorcycle,1.0,no,metropolitian,36,0,10.0,evening,12.464329297636581,long
54,31.0,4.7,cloudy,low,2,snack,motorcycle,0.0,no,metropolitian,16,1,15.0,night,9.121425981981247,medium
55,24.0,4.7,sunny,medium,0,buffet,motorcycle,0.0,no,urban,19,0,5.0,afternoon,14.02323208308448,long
56,39.0,4.6,sunny,low,1,snack,motorcycle,1.0,no,metropolitian,27,0,15.0,night,13.392612276663236,long
60,25.0,4.8,sandstorms,low,1,drinks,scooter,0.0,no,urban,18,0,10.0,night,11.916582838288104,long
61,33.0,4.9,sunny,jam,2,drinks,scooter,0.0,no,metropolitian,22,0,5.0,night,4.663566689152146,short
62,30.0,4.4,cloudy,low,2,drinks,scooter,1.0,no,metropolitian,34,1,15.0,night,10.641157729337541,long
63,33.0,5.0,sandstorms,low,0,buffet,motorcycle,0.0,no,urban,24,0,5.0,night,16.818368923732613,very_long
64,36.0,4.9,fog,medium,2,drinks,scooter,1.0,no,metropolitian,17,0,15.0,afternoon,6.128551257919138,medium
65,21.0,4.8,sandstorms,low,2,meal,electric_scooter,0.0,no,metropolitian,14,0,10.0,morning,2.996250036665907,short
66,39.0,4.9,stormy,jam,2,meal,motorcycle,1.0,no,metropolitian,30,0,5.0,evening,7.342175722857793,medium
69,39.0,4.6,cloudy,jam,1,snack,scooter,1.0,no,metropolitian,36,0,5.0,evening,13.972123977178622,long
70,22.0,4.7,sunny,high,1,buffet,scooter,1.0,no,urban,18,0,5.0,morning,6.081440797008078,medium
71,32.0,4.6,fog,medium,1,meal,scooter,0.0,no,metropolitian,17,0,15.0,afternoon,6.080891507842322,medium
75,26.0,4.7,fog,low,1,buffet,motorcycle,0.0,no,metropolitian,10,1,15.0,night,9.220373067021216,medium
77,35.0,4.1,sandstorms,jam,1,buffet,motorcycle,2.0,no,metropolitian,37,1,15.0,evening,13.96960642768458,long
78,39.0,4.6,fog,jam,1,drinks,scooter,2.0,no,metropolitian,44,0,10.0,evening,13.973206773137713,long
79,34.0,4.7,windy,high,2,drinks,electric_scooter,1.0,no,metropolitian,28,1,10.0,morning,6.058853851669116,medium
80,27.0,4.7,cloudy,jam,2,snack,scooter,1.0,no,metropolitian,42,0,15.0,night,17.07799287216204,very_long
82,25.0,4.4,cloudy,medium,2,snack,scooter,1.0,no,metropolitian,39,1,5.0,evening,17.072871906399556,very_long
83,25.0,4.7,stormy,medium,0,meal,motorcycle,0.0,no,urban,20,1,5.0,evening,16.818368923732613,very_long
84,30.0,5.0,stormy,high,1,buffet,motorcycle,1.0,no,metropolitian,31,0,5.0,morning,2.979502850576494,short
85,24.0,4.6,stormy,jam,1,buffet,motorcycle,0.0,no,metropolitian,13,0,10.0,evening,9.22086597503784,medium
87,25.0,4.8,windy,high,1,snack,scooter,1.0,no,urban,19,0,5.0,morning,6.1755160934059985,medium
88,37.0,4.6,fog,low,0,buffet,motorcycle,2.0,yes,urban,42,0,15.0,night,12.209856560906529,long
89,24.0,5.0,fog,low,0,drinks,motorcycle,1.0,no,metropolitian,23,0,5.0,morning,1.5526813140972442,short
90,25.0,4.2,stormy,jam,0,meal,motorcycle,1.0,no,metropolitian,39,0,15.0,night,16.902806732498032,very_long
91,32.0,4.6,stormy,low,2,drinks,motorcycle,1.0,no,metropolitian,25,0,10.0,morning,1.5093577696337532,short
92,34.0,4.7,sandstorms,low,1,drinks,scooter,0.0,no,metropolitian,15,0,5.0,night,10.416963824321584,long
93,38.0,4.9,cloudy,low,2,drinks,scooter,1.0,no,urban,15,0,15.0,morning,3.0251186390184004,short
94,36.0,4.8,sunny,medium,2,buffet,electric_scooter,0.0,no,metropolitian,15,0,5.0,afternoon,13.407092693002484,long
96,29.0,5.0,sunny,low,0,drinks,motorcycle,0.0,no,metropolitian,18,0,5.0,night,7.772343594464245,medium
97,36.0,4.7,sandstorms,low,2,drinks,electric_scooter,0.0,no,metropolitian,29,0,10.0,night,13.773737657079298,long
98,33.0,4.7,fog,low,0,snack,motorcycle,0.0,no,metropolitian,20,0,5.0,night,7.790158927084966,medium
99,36.0,4.4,cloudy,high,2,meal,scooter,1.0,no,metropolitian,39,1,15.0,morning,6.217834398578936,medium
100,21.0,4.8,windy,low,0,snack,motorcycle,0.0,no,metropolitian,19,0,15.0,night,16.852834881460105,very_long
101,25.0,4.8,cloudy,low,1,snack,scooter,1.0,no,urban,19,1,15.0,night,4.610035602260694,short
102,23.0,4.8,windy,low,0,meal,motorcycle,0.0,no,metropolitian,17,0,10.0,night,19.879870677373706,very_long
103,25.0,4.6,stormy,low,2,snack,motorcycle,1.0,no,urban,15,0,15.0,morning,1.5580833985948437,short
104,24.0,4.3,sandstorms,low,0,meal,motorcycle,0.0,no,urban,19,0,15.0,morning,3.025332706173566,short
105,27.0,4.6,sandstorms,jam,0,buffet,motorcycle,1.0,no,metropolitian,29,0,15.0,night,13.97194896017493,long
106,23.0,4.8,cloudy,low,2,snack,scooter,1.0,no,urban,22,0,5.0,night,16.830905551931956,very_long
107,21.0,4.3,fog,jam,1,drinks,scooter,0.0,no,metropolitian,42,0,10.0,evening,20.207797933358158,very_long
108,27.0,4.7,sandstorms,low,2,snack,scooter,0.0,no,urban,12,0,15.0,morning,3.040641621538495,short
109,32.0,4.2,cloudy,jam,1,snack,motorcycle,1.0,no,metropolitian,38,0,10.0,evening,20.253785359470783,very_long
110,25.0,4.6,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,23,0,15.0,night,16.72129600980331,very_long
111,39.0,4.7,cloudy,low,1,meal,scooter,0.0,no,metropolitian,15,0,15.0,morning,2.9845507897866907,short
112,27.0,4.6,sunny,low,0,snack,motorcycle,1.0,no,metropolitian,24,0,5.0,night,12.16145053143676,long
113,39.0,3.8,windy,jam,1,drinks,motorcycle,0.0,no,metropolitian,37,0,5.0,evening,16.822155609317257,very_long
114,31.0,4.8,sandstorms,low,1,snack,scooter,0.0,no,metropolitian,24,0,10.0,night,7.762556904358444,medium
115,31.0,4.8,sunny,low,2,buffet,electric_scooter,0.0,no,metropolitian,13,0,5.0,night,9.055855161965923,medium
117,36.0,4.9,cloudy,medium,0,drinks,motorcycle,1.0,no,urban,42,0,10.0,evening,12.074047498027575,long
118,20.0,4.9,sandstorms,low,0,meal,motorcycle,1.0,no,metropolitian,17,1,10.0,night,13.580373876280879,long
119,24.0,4.6,cloudy,jam,0,drinks,motorcycle,0.0,no,metropolitian,25,1,15.0,evening,4.469620875558295,short
121,39.0,4.2,fog,medium,1,snack,scooter,0.0,no,metropolitian,39,0,5.0,evening,16.634870118211836,very_long
122,37.0,4.8,sunny,high,2,meal,scooter,0.0,no,metropolitian,18,0,10.0,afternoon,6.232139486668102,medium
123,32.0,4.9,sandstorms,medium,2,drinks,motorcycle,1.0,no,metropolitian,28,0,10.0,afternoon,6.209021101535612,medium
124,22.0,4.5,sandstorms,low,1,drinks,scooter,1.0,no,metropolitian,18,0,15.0,night,7.460830127736633,medium
126,33.0,4.7,fog,jam,1,snack,scooter,1.0,no,metropolitian,49,0,10.0,night,16.600975700594585,very_long
128,27.0,4.6,sunny,low,0,drinks,motorcycle,1.0,no,metropolitian,21,0,5.0,night,12.421212735966003,long
129,34.0,4.7,sunny,high,2,snack,scooter,0.0,no,metropolitian,23,0,15.0,afternoon,6.1187118466897275,medium
